Player;transfermarkt value;transfer fee
Victor Osimhen;40000000;70000000
Timo Werner;64000000;53000000
Mauro Icardi;60000000;50000000
Leroy San;80000000;45000000
Diogo Jota;28000000;44000000
Hakim Ziyech;40000000;40000000
Fábio Silva;12000000;40000000
Álvaro Morata;36000000;35000000
Trincao;16000000;31000000
Ollie Watkins;12000000;30000000
Rodrigo;40000000;30000000
Jonathan David;25000000;27000000
Yannick Carrasco;22000000;27000000
Patrik Schick;25000000;26000000
Rhian Brewster;5000000;26000000
Jérémy Doku;9000000;26000000
Darwin Núñez;10000000;24000000
Ferran Torres;45000000;23000000
Callum Wilson;20000000;22000000
Suso;17000000;21000000
Alexander Sörloth;20000000;20000000
Andrea Pinamonti;13000000;19000000
Raphinha;16000000;18000000
Vedat Muriqi;12000000;18000000
Bertrand Traoré;9000000;18000000
Kai Havertz;81000000;80000000
Arthur;56000000;72000000
Miralem Pjanić;45000000;60000000
Thomas Partey;40000000;50000000
Achraf Hakimi;54000000;40000000
Donny van de Beek;44000000;39000000
Giovani Lo Celso;40000000;32000000
Nicolò Barella;50000000;28000000
Allan;28000000;25000000
Emre Can;24000000;25000000
Jude Bellingham;11000000;23000000
Abdoulaye Doucouré;20000000;22000000
Thiago;48000000;22000000
Simone Verdi;13000000;22000000
Wendel;12000000;20000000
Éverton;28000000;20000000
Stefano Sensi;20000000;20000000
Lucas Paquetá;20000000;20000000
Pedrinho;13000000;18000000
Eberechi Eze;9000000;17000000
Pierre-Emile Höjbjerg;20000000;16000000
Gonzalo Martínez;12000000;16000000
Tomas Soucek;12000000;16000000
Jordan Veretout;24000000;16000000
Mario Pasalic;25000000;15000000
Roberto Inglese;12000000;18000000
Hélder Costa;8000000;17000000
Karlan Grant;6000000;16000000
Antony;18000000;15000000
Luca Waldschmidt;16000000;15000000
Serhou Guirassy;8000000;15000000
Jhon Córdoba;12000000;15000000
Grady Diangana;4000000;13000000
Giovanni Simeone;15000000;12000000
Martin Terrier;10000000;12000000
Álex Berenguer;6000000;12000000
Oussama Idrissi;12000000;12000000
Anthony Knockaert;6000000;11000000
Karl Toko Ekambi;14000000;11000000
Chidera Ejuke;5000000;11000000
Kevin Volland;28000000;11000000
Christian Kouamé;17000000;11000000
Carles Pérez;9000000;11000000
Félix Correia;1000000;10000000
Habib Diallo;12000000;10000000
Hee-chan Hwang;10000000;9000000
Adrian Grbic;2000000;9000000
Alfred Duncan;15000000;15000000
Ibrahima Diallo;15000000;15000000
Aleksey Miranchuk;18000000;14000000
Óscar Rodríguez;15000000;13000000
Marko Rog;13000000;13000000
Davy Klaassen;12000000;11000000
Jakub Moder;3000000;11000000
Rolando Mandragora;12000000;10000000
Marc Cucurella;18000000;10000000
Baptiste Santamaria;7000000;10000000
Marc Roca;16000000;9000000
Ibrahim Sangaré;9000000;9000000
Mohammed Kudus;9000000;9000000
Seko Fofana;9000000;8000000
Nikola Moro;6000000;8000000
Matheus;1000000;8000000
Mohamed Fares;7000000;8000000
Karol Linetty;10000000;7000000
Matheus Fernandes;3000000;7000000
Francesco Cassata;2000000;7000000
Leonardo Bittencourt;4000000;7000000
Ondrej Duda;7000000;7000000
Alberto Grassi;5000000;6000000
Francis Coquelin;14000000;6000000
Rúben Dias;35000000;68000000
Ben Chilwell;40000000;50000000
Nathan Aké;28000000;45000000
Wesley Fofana;10000000;35000000
Nélson Semedo;40000000;30000000
Sergio Reguilón;25000000;30000000
Ben Godfrey;16000000;27000000
Gabriel;20000000;26000000
Timothy Castagne;18000000;24000000
Sergiño Dest;18000000;21000000
Diego Llorente;20000000;20000000
Matt Doherty;16000000;16000000
Jamal Lewis;11000000;16000000
Pervis Estupiñán;15000000;16000000
Matty Cash;4000000;15000000
Alex Telles;40000000;15000000
Chris Smalling;20000000;15000000
Nicolás Otamendi;14000000;15000000
Kyle Walker-Peters;8000000;13000000
Gianluca Mancini;22000000;13000000
Robin Koch;17000000;13000000
Axel Disasi;13000000;13000000
Konstantinos Tsimikas;9000000;13000000
Joe Rodon;7000000;12000000
Dejan Lovren;12000000;12000000
Mohammed Salisu;12000000;12000000
Pol Lirola;10000000;11000000
Kevin Bonifazi;4000000;11000000
Marcos Acuña;12000000;10000000
Ridle Baku;7000000;10000000
Ki-Jana Hoever;3000000;9000000
Vlad Chiriches;5000000;9000000
Philipp Max;15000000;8000000
Bouna Sarr;9000000;8000000
Sven Botman;1000000;8000000
Bruno Fuchs;1000000;8000000
Caio Henrique;1000000;8000000
Maxime Busi;2000000;7000000
Felix Uduokhai;6000000;7000000
Omar Alderete;3000000;6000000
Giuseppe Pezzella;3000000;6000000
Lucas Martínez Quarta;10000000;6000000
Yan Couto;3000000;6000000
Núrio Fortuna;2000000;6000000
Jordan Lotomba;4000000;6000000
Vladimir Coufal;2000000;6000000
Michal Karbownik;6000000;5000000
Mërgim Vojvoda;4000000;5000000
Maxence Lacroix;1000000;5000000
Edouard Mendy;7000000;24000000
Aaron Ramsdale;12000000;20000000
Emiliano Martínez;8000000;17000000
Alfred Gomis;2000000;10000000
Paul Bernardoni;5000000;7000000
Alexander Schwolow;7000000;7000000
Illan Meslier;4000000;6000000
Sergio Rico;8000000;6000000
Jonas Omlin;4000000;6000000
Gero Rulli;8000000;5000000
Vasilios Barkas;2000000;5000000
Luigi Sepe;6000000;4000000
Gregor Kobel;4000000;4000000
Bono;3000000;4000000
Etrit Berisha;2000000;3000000
Ivo Grbic;2000000;3000000
Stefano Gori;1000000;3000000
Josep Martínez;2000000;2000000
Neil Etheridge;2000000;2000000
Adrian Grbic;2000000;9000000
Enes Ünal;8000000;9000000
Grégoire Defrel;8000000;9000000
Evanilson;7000000;8000000
Adolfo Gaich;11000000;8000000
Valentin Mihaila;2000000;8000000
Facundo Pellistri;1000000;8000000
Matheus Pereira;9000000;8000000
Andrea Pinamonti;13000000;8000000
Yann Karamoh;7000000;8000000
Abel Ruiz;4000000;8000000
Terem Moffi;3000000;8000000
Luis Henrique;5000000;8000000
Eldor Shomurodov;6000000;7000000
Amine Gouiri;4000000;7000000
Sebastian Andersson;7000000;6000000
Nahuel Bustos;6000000;6000000
Oliver Burke;4000000;6000000
Mikkel Damsgaard;6000000;6000000
Stephy Mavididi;3000000;6000000
Ignatius Ganago;3000000;6000000
François Kamano;8000000;5000000
Zé Luís;8000000;5000000
Albian Ajeti;4000000;5000000
Tiquinho Soares;9000000;5000000
Ante Rebic;32000000;5000000
Moses Simon;6000000;5000000
Steve Mounié;6000000;5000000
Umar Sadiq;6000000;5000000
Franck Honorat;1000000;5000000
Kemar Roofe;4000000;5000000
Bartosz Bialek;3000000;5000000
Ramadan Sobhi;3000000;5000000
Jens Petter Hauge;1000000;5000000
Mehdi Taremi;10000000;4000000
Aleksandr Sobolev;3000000;4000000
Mirko Maric;4000000;4000000
Arthur Cabral;2000000;4000000
Kamil Jozwiak;4000000;4000000
Shon Weissman;6000000;4000000
Roger Assalé;6000000;4000000
Gianluca Lapadula;5000000;4000000
Pedro Gonçalves;7000000;6000000
Harrison Reed;2000000;6000000
Simon Sohm;1000000;6000000
Lucas Robertone;6000000;6000000
Marcelino Moreno;4000000;6000000
Guilherme;4000000;6000000
Harry Arter;3000000;5000000
Matías Zaracho;15000000;5000000
Luis Milla;1000000;5000000
Aaron Mooy;9000000;4000000
Kévin N'Doram;2000000;4000000
Jailson;3000000;4000000
Hernani;5000000;4000000
Emanuel Reynoso;5000000;4000000
Valon Berisha;4000000;4000000
José Machín;1000000;4000000
Maxime Gonalons;2000000;4000000
Bruno Henrique;3000000;4000000
Ovie Ejaria;3000000;3000000
Bastien Toma;2000000;3000000
Niklas Dorsch;6000000;3000000
Ianis Hagi;4000000;3000000
Adrien Tamèze;4000000;3000000
Jean-Victor Makengo;3000000;3000000
Daniil Fomin;3000000;3000000
Jasmin Kurtic;3000000;3000000
Mijat Gacinovic;7000000;3000000
Steven Zuber;4000000;3000000
Bersant Celina;4000000;3000000
Niclas Eliasson;4000000;3000000
Lucas Castro;2000000;3000000
Pêpê;3000000;3000000
Edon Zhegrova;1000000;3000000
David Turnbull;1000000;3000000
Andrés Cubas;3000000;2000000
Leonel Miranda;2000000;2000000
Dia Saba;2000000;2000000
Berkay Özcan;3000000;2000000
Kristoffer Askildsen;1000000;2000000
Loïc Mbe Soh;4000000;5000000
Pablo Marí;4000000;5000000
Timothée Kolodziejczak;4000000;4000000
Daniel Muñoz;1000000;4000000
Issa Kabore;1000000;4000000
Terence Kongolo;6000000;4000000
Sean Klaiber;2000000;4000000
Álvaro González;6000000;4000000
Marcel Tisserand;6000000;4000000
Waldemar Anton;5000000;4000000
Christophe Hérelle;5000000;4000000
Hassane Kamara;4000000;4000000
Filippo Romagna;4000000;4000000
Deyovaisio Zeefuik;2000000;4000000
Nayef Aguerd;4000000;4000000
Zaidu Sanusi;2000000;4000000
Yordan Osorio;2000000;4000000
Ömer Toprak;3000000;4000000
Jayden Bogle;6000000;3000000
Max Lowe;1000000;3000000
Simon Kjaer;7000000;3000000
Facundo Medina;4000000;3000000
Gerardo Arteaga;3000000;3000000
Kiki Kouyaté;2000000;3000000
Mattia Bani;3000000;3000000
Jonathan Panzo;2000000;3000000
Scott McKenna;2000000;3000000
Kenny Tete;5000000;3000000
Kamil Glik;3000000;3000000
Ricardo Rodríguez;3000000;3000000
Javi Sánchez;1000000;3000000
Júnior Alonso;2000000;3000000
Souleyman Doumbia;1000000;3000000
Gilberto;1000000;3000000
Evgeniy Chernov;2000000;3000000
Kaan Ayhan;7000000;2000000
Gregor Kobel;4000000;4000000
Bono;3000000;4000000
Etrit Berisha;2000000;3000000
Ivo Grbic;2000000;3000000
